sentence	structure	direct_object	indirect_object
I couldn't call myself his friend if I weren't willing to do the same.	DO	his friend	myself
Just trying to save us all some paperwork.	DO	all some paperwork	us
Master, may I ask you a question?	DO	a question	you
We could build ourselves a sugar nest	DO	a sugar nest	ourselves
I don't wanna give her a complex.	DO	a complex	her
They always give you that little look.	DO	that little look	you
Well, I'll show you what of it.	DO	what of it	you
So she offered us the job and I just took it.	DO	the job	us
So don't tell me that.	DO	that	me
You Give me a copy.	DO	a copy	me
You taught me that.	DO	that	me
You owe me 500 pushups apiece.	DO	500 pushups	me
Come on, Steve, buy her the radio, it's on sale.	DO	the radio	her
I taught him that!	DO	that	him
I'm gonna send you photos and fingerprints on 'em.	DO	photos and fingerprints	you
And that was the point of the gun:  to tell William the incredible news  that his little electrical "Ss" have gone over a hill.	DO	the incredible news   that his little electrical " Ss " have gone over a hill	William
He shows you his butterfly collection...  ...plus the killing jar.	DO	his butterfly collection ...   ... plus the killing jar	you
Okay, show me a difference, people.	DO	a difference , people	me
Andy will give you 2 movies and a painting	DO	2 movies and a painting	you
J.R., I wanted to give you my answer on the OLM.	DO	my answer on the OLM	you
Your Majesty, I bring you your brother's humble greetings...  ...and his hopes that you will enjoy the boar hunting here in Zenda.	DO	your brother 's humble greetings	you
They owed me some cash,	DO	some cash	me
No, I will not give you time off to go win the Open.	DO	time	you
I said give her the $10.	DO	the $ 10	her
They sang together and prayed together every Saturday night...  and that give 'em the strength to get through the week...  even though they didn't seem to be getting anywhere.	DO	the strength to get through the week	'em
She gave me her phone number.	DO	her phone number	me
So...you asked me a question a couple of days ago.	DO	a question	me
Let me just buy you a beer.	DO	a beer	you
I told you that.	DO	that	you
I told you that.	DO	that	you
No, I told you that.	DO	that	you
Why would you tell me my own story?	DO	my own story	me
I'd only tell you mine.	DO	mine	you
You're giving me this car?	DO	this car	me
I'll call you a cab.	DO	a cab	you
This is Dr Crane signing off and wishing you good mental health.	DO	good mental health	you
As a token of gratitude the government gave me this tusk.	DO	this tusk	me
I buy alI the drinks.	DO	the drinks	alI
Oh quick, show me the potty, Darling.	DO	the potty , Darling	me
Okay, don't tell your mom, but I got you guys some presents.	DO	some presents	you guys
But he got me this.	DO	this	me
However, I don't need to remind you the pleasure of such an acquaintance.	DO	the pleasure of such an acquaintance	you
Give us the women?	DO	the women	us
Of course, I didn't tell him anything.	DO	anything	him
Bike's running, he's telling you a story.	DO	a story	you
I handed you the Gotti detail in New York?	DO	the Gotti detail in New York	you
Then give me the Rod!	DO	the Rod	me
his three-point shot gives the Roadrunners their first lead of the game.	DO	their first lead of the game	the Roadrunners
Now get out there and give 'em a hand gettin' that firewood.	DO	a hand gettin '	'em
I will give you a life for a life.	DO	a life	you
If I'd come to your room, you would've given me the dresses free.	DO	the dresses	me
Nina, I could tell you stories.	DO	stories	you
I should fine you $25 for illegal equipment.	DO	$25 	you
Just give me a minute to stretch.	DO	a minute to stretch	me
Ronald gave me Kenneth's number  It's here  If you want to know ...	DO	Kenneth 's number  	me
